seed,step,position,net_worth
456,317,-1.0,10231.163157871872
456,318,-1.0,10243.815908583354
456,319,-1.0,10249.17599208448
456,320,-1.0,10247.59248173959
456,321,-1.0,10250.791816403193
456,322,-1.0,10251.495260942387
456,323,-1.0,10233.036363947842
456,324,-1.0,10217.979747949346
456,325,-1.0,10210.689857381143
456,326,-1.0,10207.93013295399
456,327,-1.0,10203.21452797676
456,328,-1.0,10206.816379810212
456,329,-1.0,10207.673292460107
456,330,-1.0,10206.171569038479
456,331,-1.0,10196.386773095604
456,332,-1.0,10182.743149955519
456,333,-1.0,10173.118210333178
456,334,-1.0,10163.24933710362
456,335,-1.0,10153.321767613279
456,336,-1.0,10145.326089357
456,337,-1.0,10149.226681300235
456,338,-1.0,10154.485892289196
456,339,-1.0,10161.572695756222
456,340,-1.0,10173.252033809375
456,341,-1.0,10183.958199433977
456,342,-1.0,10185.418600978142
456,343,-1.0,10191.843403264444
456,344,-1.0,10197.121008361593
456,345,-1.0,10198.112934183244
456,346,-1.0,10207.248720846319
456,347,-1.0,10221.697151026097
456,348,-1.0,10217.289943792044
456,349,-1.0,10213.586020714052
456,350,-1.0,10213.508875983069
456,351,-1.0,10201.109127592592
456,352,-1.0,10192.315174319703
456,353,-1.0,10198.563996256144
456,354,-1.0,10212.909838958694
456,355,0.0,10209.845966007008
456,356,1.0,10176.42421888435
456,357,0.0,10173.371291618683
456,358,-1.0,10191.723259471542
456,359,-1.0,10195.813204242451
456,360,0.0,10192.75446028118
456,361,1.0,10206.000872167086
456,362,1.0,10229.814338692328
456,363,1.0,10255.648360721645
456,364,1.0,10273.262248546507
456,365,1.0,10284.619854596289
456,366,1.0,10293.957986379422
456,367,1.0,10296.215868362957
456,368,1.0,10291.3265861282
456,369,0.0,10288.239188152362
456,370,0.0,10288.239188152362
456,371,-1.0,10282.53588702468
456,372,-1.0,10283.831046622225
456,373,-1.0,10282.575428729122
456,374,-1.0,10286.091827864873
456,375,-1.0,10296.16112028539
456,376,-1.0,10309.939206401694
456,377,-1.0,10315.118733055608
456,378,-1.0,10315.785779652577
456,379,-1.0,10319.0902857524
456,380,-1.0,10311.509005020804
456,381,-1.0,10304.630071159234
456,382,-1.0,10304.894806105534
456,383,-1.0,10305.003801432575
456,384,-1.0,10299.73600113209
456,385,-1.0,10301.764849645297
456,386,-1.0,10300.989647930379
456,387,-1.0,10301.366382438786
456,388,-1.0,10302.776625350769
456,389,-1.0,10315.598798357809
456,390,-1.0,10349.10490856706
456,391,-1.0,10368.80084008064
456,392,-1.0,10384.048329721361
456,393,-1.0,10404.404870187609
456,394,-1.0,10417.435757354171
456,395,-1.0,10394.36533947447
456,396,0.0,10391.24702987263
456,397,1.0,10390.586314210821
456,398,1.0,10395.038866459123
456,399,1.0,10398.089925266062
456,400,1.0,10386.933412486904
456,401,1.0,10376.607857481493
456,402,1.0,10365.81759621983
456,403,1.0,10366.112552661767
456,404,1.0,10373.379301163975
456,405,1.0,10372.295575696637
456,406,1.0,10376.292120138152
456,407,1.0,10386.112504405637
456,408,1.0,10384.046969596664
456,409,1.0,10385.649497883209
456,410,0.0,10382.533803033844
456,411,1.0,10380.318177544392
456,412,1.0,10379.246832260675
456,413,0.0,10376.133058210997
456,414,0.0,10376.133058210997
456,415,0.0,10376.133058210997
456,416,0.0,10376.133058210997
456,417,0.0,10376.133058210997
456,418,-1.0,10370.01316787764
456,419,-1.0,10371.564891150845
456,420,-1.0,10382.284663649592
456,421,-1.0,10384.762236474338
456,422,-1.0,10381.771897844348
456,423,-1.0,10376.65328395551
456,424,-1.0,10371.10031398298
456,425,-1.0,10372.831223208279
456,426,-1.0,10367.584806283701
456,427,-1.0,10367.431351810097
456,428,-1.0,10356.712417917472
456,429,-1.0,10334.849258052387
456,430,-1.0,10311.941056472824
456,431,-1.0,10296.087235127907
456,432,-1.0,10275.769076725644
456,433,-1.0,10265.320168105405
456,434,-1.0,10264.261535682146
456,435,-1.0,10262.93909291335
456,436,-1.0,10260.231377119917
456,437,-1.0,10256.089654480002
456,438,-1.0,10253.169067735933
456,439,-1.0,10245.962935845582
456,440,-1.0,10229.549003674572
456,441,-1.0,10227.254767499715
456,442,-1.0,10228.74951835887
456,443,-1.0,10232.302432194914
456,444,-1.0,10232.690887086052
456,445,-1.0,10236.796369825135
456,446,-1.0,10231.348006191472
456,447,-1.0,10229.235709552191
456,448,-1.0,10222.675790068764
456,449,-1.0,10217.082161693897
456,450,-1.0,10209.807127503946
456,451,-1.0,10207.113100808745
456,452,-1.0,10199.350020046066
456,453,-1.0,10198.10291278069
456,454,-1.0,10195.391125152559
456,455,-1.0,10193.435531429606
456,456,-1.0,10187.342313257752
456,457,-1.0,10183.409887350826
456,458,-1.0,10172.180300879463
456,459,0.0,10169.1286467892
456,460,1.0,10175.127733292258
456,461,1.0,10186.700118556346
456,462,1.0,10198.531960037131
456,463,1.0,10206.15823276366
456,464,0.0,10203.096385293831
456,465,-1.0,10191.423826607319
456,466,-1.0,10184.260878132585
456,467,-1.0,10173.805009119811
456,468,-1.0,10160.967677641695
456,469,-1.0,10142.867324294264
456,470,-1.0,10126.38202956761
456,471,-1.0,10115.658919222658
456,472,-1.0,10100.268388706221
456,473,-1.0,10090.296026189515
456,474,-1.0,10088.90954655465
456,475,-1.0,10089.863108231728
456,476,-1.0,10088.897227147674
456,477,-1.0,10097.226055176581
456,478,-1.0,10108.539154498603
456,479,-1.0,10119.258351043922
456,480,-1.0,10126.260688467974
456,481,-1.0,10134.437216424321
456,482,-1.0,10144.32219346345
